Sender,Message,Timestamp,Amount,Amount_Category
Sender_269,"Congratulations! You are the lucky winner of ₹10,000 cash prize!",2025-01-07 18:37:52,,
Sender_452,Hotel booking confirmed at Taj Mumbai.,2025-01-28 04:37:52,,
Sender_636,Limited-time deal: Extra ₹500 cashback on purchases.,2025-01-22 22:37:52,,
Sender_297,Festive offer: Flat 30% discount on all items.,2025-01-13 06:37:52,,
Sender_306,Congratulations! Your job application is shortlisted.,2025-01-06 18:37:52,,
Sender_727,Your cashback of ₹89166 is credited.,2025-01-06 21:37:52,89166.0,Very High Value
Sender_632,MRI report uploaded. Check your email.,2025-01-13 05:37:52,,
Sender_438,Your mobile number has been selected for a lottery prize!,2025-01-25 06:37:52,,
Sender_561,Hotel booking confirmed at Taj Mumbai.,2025-01-31 07:37:52,,
Sender_959,Your mobile number has been selected for a lottery prize!,2025-01-20 06:37:52,,
Sender_891,Use 778899 to reset your password.,2025-01-19 18:37:52,,
Sender_958,Company update: Q2 performance report available.,2025-01-26 01:37:52,,
Sender_476,Your card was used for a ₹91256 purchase.,2025-01-03 22:37:52,91256.0,Very High Value
Sender_260,Water bill payment successful. Amount: ₹500.,2025-01-08 20:37:52,,
Sender_613,"Mom: Dinner is ready, come home soon.",2025-01-03 20:37:52,,
Sender_463,₹60470 withdrawn from ATM.,2025-01-12 22:37:52,60470.0,Very High Value
Sender_414,Secure login OTP: 654321.,2025-01-06 10:37:52,,
Sender_640,EMI overdue! Pay ₹36439 immediately to avoid penalty.,2025-02-01 14:37:52,36439.0,High Value
Sender_431,Dad: Don't forget to pay the electricity bill.,2025-01-09 08:37:52,,
Sender_866,Check-in reminder: Hotel stay starts tomorrow.,2025-01-15 13:37:52,,
Sender_343,Big clearance sale! Up to 50% off.,2025-01-14 05:37:52,,
Sender_387,Your card was used for a ₹78559 purchase.,2025-01-27 18:37:52,78559.0,Very High Value
Sender_653,Your blood test results are available online.,2025-02-02 08:37:52,,
Sender_655,Reminder: Your Aadhaar update appointment is tomorrow.,2025-02-01 22:37:52,,
Sender_418,Transaction OTP: 987654. Valid for 5 minutes.,2025-01-28 06:37:52,,
Sender_813,Flight AI-302 to Mumbai departs at 8:00 AM.,2025-01-25 11:37:52,,
Sender_336,IRCTC update: Train timings have changed.,2025-01-03 20:37:52,,
Sender_792,Boarding pass issued for your flight to Dubai.,2025-01-08 16:37:52,,
Sender_412,Train 12345 is delayed by 30 minutes.,2025-01-09 06:37:52,,
Sender_575,Limited-time deal: Extra ₹500 cashback on purchases.,2025-01-03 21:37:52,,
Sender_229,Company update: Q2 performance report available.,2025-01-27 23:37:52,,
Sender_621,Your cashback of ₹20974 is credited.,2025-01-13 12:37:52,20974.0,High Value
Sender_823,Use code WELCOME10 for ₹100 off.,2025-01-06 08:37:52,,
Sender_524,Game night at my place? Let me know!,2025-01-19 14:37:52,,
Sender_584,Work update: Project deadline extended by a week.,2025-01-20 04:37:52,,
Sender_452,"Special offer: Buy 2, Get 1 Free.",2025-01-29 00:37:52,,
Sender_348,Train 12345 is delayed by 30 minutes.,2025-01-19 19:37:52,,
Sender_611,Your card limit has been increased to ₹58590.,2025-01-28 10:37:52,58590.0,Very High Value
Sender_606,Your medicine order is ready for delivery.,2025-01-10 17:37:52,,
Sender_554,₹64170 spent on your credit card at Amazon.,2025-01-07 23:37:52,64170.0,Very High Value
Sender_861,HR update: Your interview is scheduled for Monday.,2025-01-16 15:37:52,,
Sender_322,₹76073 debited from your account.,2025-01-20 15:37:52,76073.0,Very High Value
Sender_525,Your medicine order is ready for delivery.,2025-01-13 19:37:52,,
Sender_292,Your flight has been rescheduled. Check details.,2025-01-05 07:37:52,,
Sender_599,Big clearance sale! Up to 50% off.,2025-01-16 14:37:52,,
Sender_814,₹77602 has been credited to your account.,2025-01-11 23:37:52,77602.0,Very High Value
Sender_433,Verification code: 112233 for account activation.,2025-01-15 00:37:52,,
Sender_672,Hotel booking confirmed at Taj Mumbai.,2025-01-22 14:37:52,,
Sender_841,Use 778899 to reset your password.,2025-01-24 18:37:52,,
Sender_110,Exclusive flash sale for members only!,2025-01-10 01:37:52,,
Sender_836,Your reservation has been modified. Check details.,2025-01-07 04:37:52,,
Sender_641,New business proposal received.,2025-01-11 19:37:52,,
Sender_403,Your medicine order is ready for delivery.,2025-01-19 19:37:52,,
Sender_540,UPI payment of ₹29183 successful.,2025-01-14 16:37:52,29183.0,High Value
Sender_791,Your login OTP for AppXYZ is 456789.,2025-01-30 00:37:52,,
Sender_982,Client meeting scheduled at 2 PM.,2025-01-07 14:37:52,,
Sender_866,Exclusive promo code: SAVE50 for your next purchase.,2025-01-07 15:37:52,,
Sender_750,Congratulations! Your job application is shortlisted.,2025-01-09 18:37:52,,
Sender_268,Your login OTP for AppXYZ is 456789.,2025-01-15 03:37:52,,
Sender_576,Your train ticket to Delhi is confirmed.,2025-01-14 18:37:52,,
Sender_896,Secure login OTP: 654321.,2025-01-31 11:37:52,,
Sender_586,Hey buddy! Let's catch up this weekend.,2025-01-11 04:37:52,,
Sender_464,Your reservation has been modified. Check details.,2025-01-30 09:37:52,,
Sender_891,Your flight has been rescheduled. Check details.,2025-01-12 14:37:52,,
Sender_973,Transaction OTP: 987654. Valid for 5 minutes.,2025-01-11 22:37:52,,
Sender_683,Your card was used for a ₹36504 purchase.,2025-01-19 19:37:52,36504.0,High Value
Sender_256,Secure login OTP: 654321.,2025-01-05 04:37:52,,
Sender_449,New job opening in your preferred industry.,2025-01-12 17:37:52,,
Sender_206,Next EMI due on 15th for ₹43187.,2025-01-27 16:37:52,43187.0,High Value
Sender_227,Client meeting scheduled at 2 PM.,2025-01-20 18:37:52,,
Sender_720,Seasonal sale is live! Don't miss out.,2025-01-31 19:37:52,,
Sender_714,Your train ticket to Delhi is confirmed.,2025-01-15 19:37:52,,
Sender_799,"Special offer: Buy 2, Get 1 Free.",2025-01-06 13:37:52,,
Sender_338,Your blood test results are available online.,2025-01-29 13:37:52,,
Sender_445,Gas bill alert: Pay ₹750 before the due date.,2025-01-13 10:37:52,,
Sender_189,Important: Property tax deadline extended.,2025-01-16 04:37:52,,
Sender_673,Dental appointment booked for 5 PM tomorrow.,2025-01-13 05:37:52,,
Sender_729,Suspicious login detected. Reset your password now.,2025-01-24 03:37:52,,
Sender_686,Game night at my place? Let me know!,2025-01-25 20:37:52,,
Sender_336,Train 12345 is delayed by 30 minutes.,2025-01-23 20:37:52,,
Sender_661,Missed you at the party yesterday. Where were you?,2025-01-26 10:37:52,,
Sender_841,Festive offer: Flat 30% discount on all items.,2025-01-15 20:37:52,,
Sender_762,Dental appointment booked for 5 PM tomorrow.,2025-01-20 21:37:52,,
Sender_383,Flash sale! Discounts up to 70%.,2025-01-03 12:37:52,,
Sender_682,Water bill payment successful. Amount: ₹500.,2025-01-04 16:37:52,,
Sender_375,New job opening in your preferred industry.,2025-01-05 10:37:52,,
Sender_653,Secure login OTP: 654321.,2025-01-10 03:37:52,,
Sender_105,Your bank OTP is 123456. Do not share with anyone.,2025-01-28 19:37:52,,
Sender_437,Boarding pass issued for your flight to Dubai.,2025-01-31 15:37:52,,
Sender_522,Limited-time deal: Extra ₹500 cashback on purchases.,2025-01-13 18:37:52,,
Sender_765,MRI report uploaded. Check your email.,2025-02-01 18:37:52,,
Sender_931,Your electricity bill of ₹1200 is due on 10th.,2025-01-19 07:37:52,,
Sender_782,New update from your tax department.,2025-01-24 05:37:52,,
Sender_545,Hotel booking confirmed at Taj Mumbai.,2025-01-15 20:37:52,,
Sender_628,Secure login OTP: 654321.,2025-01-30 18:37:52,,
Sender_154,IRCTC update: Train timings have changed.,2025-01-11 11:37:52,,
Sender_730,₹47474 withdrawn from ATM.,2025-01-24 09:37:52,47474.0,High Value
Sender_748,New job opening in your preferred industry.,2025-01-17 19:37:52,,
Sender_665,Claim your jackpot winnings now before the deadline!,2025-01-13 17:37:52,,
Sender_205,New job opening in your preferred industry.,2025-02-01 02:37:52,,
Sender_817,Verification code: 112233 for account activation.,2025-01-11 04:37:52,,
Sender_582,Your loan application for ₹39843 has been approved.,2025-01-11 08:37:52,39843.0,High Value
Sender_955,Your bank OTP is 123456. Do not share with anyone.,2025-01-19 13:37:52,,
Sender_949,Reminder: Your health check-up is due.,2025-01-21 12:37:52,,
Sender_656,IRCTC update: Train timings have changed.,2025-01-31 23:37:52,,
Sender_756,Your electricity bill of ₹1200 is due on 10th.,2025-02-01 13:37:52,,
Sender_181,Your monthly EMI of ₹55482 has been deducted.,2025-01-21 19:37:52,55482.0,Very High Value
Sender_319,"Mom: Dinner is ready, come home soon.",2025-01-29 20:37:52,,
Sender_948,Your login OTP for AppXYZ is 456789.,2025-01-10 03:37:52,,
Sender_942,Company update: Q2 performance report available.,2025-01-27 10:37:52,,
Sender_843,New job opening in your preferred industry.,2025-01-20 18:37:52,,
Sender_589,Exclusive flash sale for members only!,2025-01-15 06:37:52,,
Sender_164,Warning! Your account may be at risk. Contact support now.,2025-01-11 21:37:52,,
Sender_622,"Congratulations! You are the lucky winner of ₹10,000 cash prize!",2025-01-29 17:37:52,,
Sender_616,Flight AI-302 to Mumbai departs at 8:00 AM.,2025-02-02 18:37:52,,
Sender_590,Reminder: Team meeting at 10 AM tomorrow.,2025-02-01 23:37:52,,
Sender_834,New business proposal received.,2025-01-12 09:37:52,,
Sender_595,Your login OTP for AppXYZ is 456789.,2025-01-05 03:37:52,,
Sender_555,Loan statement is available for ₹58443.,2025-02-01 10:37:52,58443.0,Very High Value
Sender_943,Verification code: 112233 for account activation.,2025-01-20 09:37:52,,
Sender_924,Claim your jackpot winnings now before the deadline!,2025-01-08 22:37:52,,
Sender_375,New job opening in your preferred industry.,2025-01-24 15:37:52,,
Sender_646,Big clearance sale! Up to 50% off.,2025-01-19 04:37:52,,
Sender_195,Hey buddy! Let's catch up this weekend.,2025-01-15 15:37:52,,
Sender_800,Congratulations! Your job application is shortlisted.,2025-01-31 04:37:52,,
Sender_338,Gas bill alert: Pay ₹750 before the due date.,2025-01-30 00:37:52,,
Sender_982,New job opening in your preferred industry.,2025-01-14 00:37:52,,
Sender_362,Client meeting scheduled at 2 PM.,2025-01-06 14:37:52,,
Sender_918,Flash sale! Discounts up to 70%.,2025-01-30 01:37:52,,
Sender_813,Check-in reminder: Hotel stay starts tomorrow.,2025-01-25 18:37:52,,
Sender_589,IRCTC update: Train timings have changed.,2025-01-20 12:37:52,,
Sender_758,Your electricity bill of ₹1200 is due on 10th.,2025-01-11 09:37:52,,
Sender_693,Water bill payment successful. Amount: ₹500.,2025-01-27 10:37:52,,
Sender_816,"Special offer: Buy 2, Get 1 Free.",2025-01-17 07:37:52,,
Sender_468,Flash sale! Discounts up to 70%.,2025-01-28 22:37:52,,
Sender_949,MRI report uploaded. Check your email.,2025-02-01 23:37:52,,
Sender_489,Verification code: 112233 for account activation.,2025-01-11 00:37:52,,
Sender_572,MRI report uploaded. Check your email.,2025-01-12 23:37:52,,
Sender_843,Sister: Can you pick me up from college today?,2025-01-10 19:37:52,,
Sender_137,Transaction OTP: 987654. Valid for 5 minutes.,2025-01-31 11:37:52,,
Sender_897,Gas bill alert: Pay ₹750 before the due date.,2025-01-08 13:37:52,,
Sender_367,Water bill payment successful. Amount: ₹500.,2025-01-17 21:37:52,,
Sender_101,Suspicious login detected. Reset your password now.,2025-01-03 09:37:52,,
Sender_771,Company update: Q2 performance report available.,2025-01-03 12:37:52,,
Sender_977,Special offer! Get 50% off on all products.,2025-02-02 03:37:52,,
Sender_832,EMI payment of ₹37617 is due next week.,2025-01-11 11:37:52,37617.0,High Value
Sender_728,Important: Property tax deadline extended.,2025-01-15 19:37:52,,
Sender_916,Big clearance sale! Up to 50% off.,2025-01-15 23:37:52,,
Sender_656,Check-in reminder: Hotel stay starts tomorrow.,2025-01-19 16:37:52,,
Sender_915,Your blood test results are available online.,2025-01-24 12:37:52,,
Sender_468,Your bank OTP is 123456. Do not share with anyone.,2025-01-15 19:37:52,,
Sender_831,Game night at my place? Let me know!,2025-01-03 03:37:52,,
Sender_886,Secure login OTP: 654321.,2025-01-22 22:37:52,,
Sender_767,Congratulations! Your job application is shortlisted.,2025-02-01 04:37:52,,
Sender_538,Use 778899 to reset your password.,2025-01-25 12:37:52,,
Sender_660,Water bill payment successful. Amount: ₹500.,2025-01-25 00:37:52,,
Sender_960,Hey buddy! Let's catch up this weekend.,2025-01-26 18:37:52,,
Sender_948,Client meeting scheduled at 2 PM.,2025-01-27 14:37:52,,
Sender_408,Your medicine order is ready for delivery.,2025-01-29 05:37:52,,
Sender_859,Boarding pass issued for your flight to Dubai.,2025-01-22 04:37:52,,
Sender_921,Festive offer: Flat 30% discount on all items.,2025-01-10 15:37:52,,
Sender_857,Exclusive promo code: SAVE50 for your next purchase.,2025-01-24 23:37:52,,
Sender_972,Hey buddy! Let's catch up this weekend.,2025-01-24 16:37:52,,
Sender_967,Loan statement is available for ₹45113.,2025-01-20 05:37:52,45113.0,High Value
Sender_420,Pharmacy alert: New medicines available.,2025-01-22 11:37:52,,
Sender_520,Game night at my place? Let me know!,2025-01-11 18:37:52,,
Sender_451,Secure login OTP: 654321.,2025-01-27 06:37:52,,
Sender_127,Important: Property tax deadline extended.,2025-01-05 11:37:52,,
Sender_319,Your cashback of ₹33584 is credited.,2025-01-15 12:37:52,33584.0,High Value
Sender_745,Doctor's appointment confirmed for 3 PM.,2025-01-16 20:37:52,,
Sender_990,Water bill payment successful. Amount: ₹500.,2025-01-13 11:37:52,,
Sender_246,Suspicious login detected. Reset your password now.,2025-01-14 19:37:52,,
Sender_989,Dad: Don't forget to pay the electricity bill.,2025-01-07 14:37:52,,
Sender_271,HR update: Your interview is scheduled for Monday.,2025-01-24 20:37:52,,
Sender_200,MRI report uploaded. Check your email.,2025-01-03 14:37:52,,
Sender_391,₹86872 debited from your account.,2025-01-29 16:37:52,86872.0,Very High Value
Sender_400,Your blood test results are available online.,2025-01-30 12:37:52,,
Sender_535,Your medicine order is ready for delivery.,2025-01-05 18:37:52,,
Sender_505,Hurry! Get 25% off on your first order.,2025-01-10 10:37:52,,
Sender_947,Reminder: Team meeting at 10 AM tomorrow.,2025-01-30 18:37:52,,
Sender_917,Dad: Don't forget to pay the electricity bill.,2025-01-26 04:37:52,,
Sender_704,Your mobile number has been selected for a lottery prize!,2025-01-05 18:37:52,,
Sender_971,Your electricity bill of ₹1200 is due on 10th.,2025-01-09 21:37:52,,
Sender_555,Exclusive promo code: SAVE50 for your next purchase.,2025-01-26 21:37:52,,
Sender_993,Game night at my place? Let me know!,2025-01-11 22:37:52,,
Sender_969,Seasonal sale is live! Don't miss out.,2025-01-08 18:37:52,,
Sender_641,"Congratulations! You are the lucky winner of ₹10,000 cash prize!",2025-01-06 10:37:52,,
Sender_972,Reminder: Team meeting at 10 AM tomorrow.,2025-01-26 02:37:52,,
Sender_709,"Special offer: Buy 2, Get 1 Free.",2025-01-27 18:37:52,,
Sender_769,Check-in reminder: Hotel stay starts tomorrow.,2025-01-05 21:37:52,,
Sender_158,Reminder: Your Aadhaar update appointment is tomorrow.,2025-01-07 16:37:52,,
Sender_473,Let's discuss the new client proposal over lunch.,2025-01-28 09:37:52,,
Sender_128,Your login OTP for AppXYZ is 456789.,2025-01-28 15:37:52,,
Sender_357,Your mobile number has been selected for a lottery prize!,2025-01-30 10:37:52,,
Sender_227,Gas bill alert: Pay ₹750 before the due date.,2025-01-13 14:37:52,,
Sender_469,Festive offer: Flat 30% discount on all items.,2025-01-29 23:37:52,,
Sender_375,Boarding pass issued for your flight to Dubai.,2025-01-27 03:37:52,,
Sender_765,Let's discuss the new client proposal over lunch.,2025-01-08 05:37:52,,
Sender_830,Use 778899 to reset your password.,2025-01-16 18:37:52,,
Sender_860,New job opening in your preferred industry.,2025-01-04 13:37:52,,
Sender_644,Gas bill alert: Pay ₹750 before the due date.,2025-01-25 02:37:52,,
Sender_103,Your medicine order is ready for delivery.,2025-02-01 00:37:52,,
Sender_439,"Special offer: Buy 2, Get 1 Free.",2025-01-11 20:37:52,,
Sender_656,HR update: Your interview is scheduled for Monday.,2025-01-18 22:37:52,,
Sender_333,"Congratulations! You are the lucky winner of ₹10,000 cash prize!",2025-02-02 00:37:52,,
Sender_145,Work update: Project deadline extended by a week.,2025-01-02 21:37:52,,
Sender_847,Your login OTP for AppXYZ is 456789.,2025-01-16 22:37:52,,
Sender_356,Your reservation has been modified. Check details.,2025-01-29 00:37:52,,
Sender_551,Use code WELCOME10 for ₹100 off.,2025-01-14 10:37:52,,
Sender_885,Flight AI-302 to Mumbai departs at 8:00 AM.,2025-01-23 16:37:52,,
Sender_279,"Mom: Dinner is ready, come home soon.",2025-01-20 08:37:52,,
Sender_333,Let's discuss the new client proposal over lunch.,2025-01-23 22:37:52,,
Sender_647,Your flight has been rescheduled. Check details.,2025-01-26 13:37:52,,
Sender_564,Sister: Can you pick me up from college today?,2025-01-17 16:37:52,,
Sender_165,Hurry! Get 25% off on your first order.,2025-01-08 17:37:52,,
Sender_730,Dental appointment booked for 5 PM tomorrow.,2025-01-29 09:37:52,,
Sender_535,Festive offer: Flat 30% discount on all items.,2025-02-01 13:37:52,,
Sender_786,Use code WELCOME10 for ₹100 off.,2025-01-07 09:37:52,,
Sender_708,Transaction OTP: 987654. Valid for 5 minutes.,2025-01-17 09:37:52,,
Sender_542,Hotel booking confirmed at Taj Mumbai.,2025-01-09 08:37:52,,
Sender_237,Flash sale! Discounts up to 70%.,2025-01-14 07:37:52,,
Sender_262,MRI report uploaded. Check your email.,2025-01-08 05:37:52,,
Sender_620,Claim your jackpot winnings now before the deadline!,2025-01-08 18:37:52,,
Sender_861,New job opening in your preferred industry.,2025-01-10 21:37:52,,
Sender_459,Your blood test results are available online.,2025-01-20 22:37:52,,
Sender_280,"You've won $1,000,000! Claim now by clicking here.",2025-01-26 03:37:52,,
Sender_578,New business proposal received.,2025-01-13 11:37:52,,
Sender_619,Your electricity bill of ₹1200 is due on 10th.,2025-01-08 21:37:52,,
Sender_186,Sister: Can you pick me up from college today?,2025-01-23 12:37:52,,
Sender_529,Lab reports ready for pickup.,2025-01-25 10:37:52,,
Sender_229,Pharmacy alert: New medicines available.,2025-01-27 06:37:52,,
Sender_286,Prescription refill reminder: Check your stock.,2025-01-11 19:37:52,,
Sender_663,Pharmacy alert: New medicines available.,2025-01-20 11:37:52,,
Sender_663,"Special offer: Buy 2, Get 1 Free.",2025-01-06 22:37:52,,
Sender_923,New business proposal received.,2025-01-12 12:37:52,,
Sender_556,HR update: Your interview is scheduled for Monday.,2025-01-14 04:37:52,,
Sender_841,Your card limit has been increased to ₹83725.,2025-01-21 05:37:52,83725.0,Very High Value
Sender_866,Missed you at the party yesterday. Where were you?,2025-01-15 03:37:52,,
Sender_901,Credit card payment of ₹52259 due tomorrow.,2025-01-12 00:37:52,52259.0,Very High Value
Sender_881,Secure login OTP: 654321.,2025-01-27 22:37:52,,
Sender_228,Check-in reminder: Hotel stay starts tomorrow.,2025-01-18 21:37:52,,
Sender_569,Transaction OTP: 987654. Valid for 5 minutes.,2025-01-06 16:37:52,,
Sender_372,Prescription refill reminder: Check your stock.,2025-01-27 16:37:52,,
Sender_642,Salary of ₹88020 deposited successfully.,2025-01-22 05:37:52,88020.0,Very High Value
Sender_653,Use code WELCOME10 for ₹100 off.,2025-01-09 12:37:52,,
Sender_532,New job opening in your preferred industry.,2025-01-20 16:37:52,,
